SRA sample ID,SRA number,Sequencing Platform,Age (years),Accuracy of birth date,Ordinal rank,Sex,Body Mass Index (kg/m2),Age-adjusted BMI,Cumulative Early Adversity Score,Dyadic Social Connectedness (F to F),Depth (millions of reads sequenced),Bisulfite conversion rate,Predicted epigenetic age (years) from n=277 model,Predicted epigenetic age (years) from n=286 model
AMB_70,PRJNA648767,HiSeq 4000,7.7426,Within < 1 week,2,F,NA,NA,2,1.874458852,11.882327,0.998103468,7.012616562,7.146899239
AMB_71,PRJNA648767,HiSeq 4000,6.3354,Within < 1 week,11,M,36.69750707,-3.488166834,1,NA,13.410601,0.998281496,5.723666444,5.706119804
AMB_72,PRJNA648767,HiSeq 4000,4.2409,Within < 1 week,3,F,32.27396697,1.279621067,1,1.28711874,14.944233,0.996623985,5.815561165,6.099215829
AMB_51,SRP058411,HiSeq 2000,4.9144,Within < 1 week,28,F,34.06877334,0.765230446,2,0.470391854,13.962081,0.998863722,4.74970121,4.353507154
AMB_73,PRJNA648767,HiSeq 4000,6.5188,Within < 1 week,14,M,38.3892984,-2.642432006,3,NA,17.182416,0.998652632,4.961913413,4.748365671
AMB_74,PRJNA648767,HiSeq 4000,4.8433,Within < 1 week,6,F,29.81341266,-3.24606877,2,NA,13.78848,0.999250947,6.058894596,6.348273713
AMB_75,PRJNA648767,HiSeq 4000,7.9562,Within < 1 week,8,F,34.59244675,-0.889072764,0,1.241129758,9.366051,0.998117738,8.949824341,8.4899833
AMB_76,PRJNA648767,HiSeq 4000,5.4237,Within < 1 week,9,F,NA,NA,1,0.280278632,17.264718,0.997909653,6.926689252,6.785062384
AMB_77,PRJNA648767,HiSeq 4000,7.7563,Within < 1 week,18,M,46.18681604,-0.552638852,0,NA,16.814583,0.9980072,7.557767178,6.944396334
AMB_78,PRJNA648767,HiSeq 4000,7.4031,Within < 1 week,15,M,49.29189848,4.181418058,0,NA,17.815064,0.997938595,7.758189348,7.599426839
AMB_54,SRP058411,HiSeq 2000,4.1342,Within < 1 week,NA,F,28.83613103,-1.792122662,2,NA,16.548738,0.996363991,5.63451115,5.841316205
AMB_79,PRJNA648767,HiSeq 4000,9.2539,Within < 1 week,1,M,49.70523701,2.776551256,1,NA,12.420532,0.997951736,10.81370947,10.61311251
AMB_80,PRJNA648767,HiSeq 4000,13.2676,Within < 1 week,5,F,40.5643739,4.685481891,2,NA,18.280459,0.997851106,8.815923981,9.321680139
AMB_81,PRJNA648767,HiSeq 4000,10.5517,Within < 1 week,1,F,42.4407686,6.765069128,1,0.413556632,13.61989,0.998542829,6.477366872,6.714331938
AMB_82,PRJNA648767,HiSeq 4000,8.1506,Within < 1 week,11,M,41.83835538,-5.219771226,0,NA,40.692208,0.995103517,6.231153267,6.724267071
AMB_83,PRJNA648767,HiSeq 4000,9.8398,Within < 1 week,2,M,NA,NA,1,NA,13.925897,0.999212698,8.771697869,8.793040352
AMB_55,SRP058411,HiSeq 2000,7.4251,Within < 1 week,2,M,49.09012395,3.87862185,2,NA,17.726679,0.982762329,8.403404583,7.553491146
AMB_03,SRP058411,HiSeq 2000,7.6632,Within < 1 week,6,M,38.70592971,-7.604183069,1,NA,31.718745,0.981712286,8.750261777,9.26642662
AMB_84,PRJNA648767,HiSeq 4000,5.7796,Within < 1 week,5,F,NA,NA,1,0.814237533,12.916122,0.997916439,8.471448912,8.630359904
AMB_85,PRJNA648767,HiSeq 4000,6.0397,Within < 1 week,16,M,36.9,-1.92188133,2,NA,15.955667,0.996808547,5.486856608,5.632297625
AMB_86,PRJNA648767,HiSeq 4000,6.3436,Within < 1 week,16,F,NA,NA,2,0.913289995,9.99628,0.999226055,7.140801968,6.943688233
AMB_87,PRJNA648767,HiSeq 4000,5.7276,Within < 1 week,33,F,40.24733189,4.932544962,3,-0.429576886,21.259993,0.999244627,8.043657843,7.872129257
AMB_88,PRJNA648767,HiSeq 4000,8.7064,Within < 1 week,6,M,43.47725592,-3.515668469,2,NA,47.93539,0.994930414,7.686426837,8.452644343
